shop_product_code,name,currency,price,delivery_date,order_time_start,company,order_status,is_favourite,img_url,scraped_time
N2606411001001,ROBOT SPIRITS ＜SIDE MS＞ RX-93ff νGUNDAM,HK$,360.00,2022-12-01,2022-07-06 15:00:00,"BANDAI NAMCO ASIA CO., LTD.",True,False,https://p-bandai.com/img/hk/p/t/N2606411001001_001.jpg,2022-07-07 01:05:55.687892
N2623282001001,METAL BUILD I.W.S.P.,HK$,920.00,2022-11-01,2022-07-01 15:00:00,"BANDAI NAMCO ASIA CO., LTD.",True,False,https://p-bandai.com/img/hk/p/t/N2623282001001_001.jpg,2022-07-07 01:05:56.029537
N2611071001001,S.H.Figuarts KAMEN RIDER SABELA KONCHUU DAIHYAKKA,HK$,510.00,2022-11-01,2022-06-24 10:00:00,"BANDAI NAMCO ASIA CO., LTD.",True,False,https://p-bandai.com/img/hk/p/t/N2611071001001_001.jpg,2022-07-07 01:05:56.280016
N2631818001001,S.H.Figuarts KAMEN RIDER GENM MUSOU GAMER,HK$,610.00,2022-11-01,2022-06-24 10:00:00,"BANDAI NAMCO ASIA CO., LTD.",True,False,https://p-bandai.com/img/hk/p/t/N2631818001001_001.jpg,2022-07-07 01:05:56.549913
N2631683001001,GUNDAM FIX FIGURATION METAL COMPOSITE  RX-78-02 GUNDAM 【Cucuruz Doan's Island】,HK$,"1,420.00",2022-11-01,2022-06-03 15:00:00,"BANDAI NAMCO ASIA CO., LTD.",True,False,https://p-bandai.com/img/hk/p/t/N2631683001001_001.jpg,2022-07-07 01:05:56.782746
N2631684001001,GUNDAM FIX FIGURATION METAL COMPOSITE  MS-06F CUCURUZ DOAN'S ZAKU 【Cucuruz Doan's Island】,HK$,"1,670.00",2022-12-01,2022-06-03 15:00:00,"BANDAI NAMCO ASIA CO., LTD.",True,False,https://p-bandai.com/img/hk/p/t/N2631684001001_001.jpg,2022-07-07 01:05:57.108601
N2631844001001,ROBOT SPIRITS <SIDE MS> ZAKU II AND ZEON’s RECONNAISSANCE AIRCRAFT SET ver. A.N.I.M.E.,HK$,580.00,2022-11-01,2022-06-03 15:00:00,"BANDAI NAMCO ASIA CO., LTD.",True,False,https://p-bandai.com/img/hk/p/t/N2631844001001_001.jpg,2022-07-07 01:05:57.502506
N2611074001001,S.H.Figuarts KAMEN RIDER ZERO-TWO (IS Ver.),HK$,470.00,2022-12-01,2022-06-01 15:00:00,"BANDAI NAMCO ASIA CO., LTD.",True,False,https://p-bandai.com/img/hk/p/t/N2611074001001_001.jpg,2022-07-07 01:05:57.835435
N2631734001001,SAINT CLOTH MYTH CENTAURUS BABEL,HK$,820.00,2022-11-01,2022-05-27 15:00:00,"BANDAI NAMCO ASIA CO., LTD.",True,False,https://p-bandai.com/img/hk/p/t/N2631734001001_001.jpg,2022-07-07 01:05:58.075858
N2613274001001,"METAL BUILD GUREN TYPE-08 ELEMENTS ""SEITEN""",HK$,"2,010.00",2022-10-01,2022-05-27 15:00:00,"BANDAI NAMCO ASIA CO., LTD.",True,False,https://p-bandai.com/img/hk/p/t/N2613274001001_001.jpg,2022-07-07 01:05:58.344919
N2631753001001,S.H.Figuarts SC-1M Space Sevenger,HK$,560.00,2022-12-01,2022-05-23 16:30:00,"BANDAI NAMCO ASIA CO., LTD.",True,False,https://p-bandai.com/img/hk/p/t/N2631753001001_001.jpg,2022-07-07 01:05:58.602925
